System
Level,Log,Time,User,Event
Info,System,2025/11/05 17:04:52,SYSTEM,System successfully registered [14.161.4.84] to [pegaholdings1.synology.me] in DDNS server [Synology].
Info,System,2025/11/05 16:49:52,SYSTEM,System successfully registered [113.161.92.1] to [pegaholdings1.synology.me] in DDNS server [Synology].
Info,System,2025/11/05 16:41:05,SYSTEM,System successfully registered [14.161.4.84] to [pegaholdings1.synology.me] in DDNS server [Synology].
Info,System,2025/11/05 16:41:03,SYSTEM,System successfully registered [14.161.4.84] to [pegaholdings1.synology.me] in DDNS server [Synology].
Error,System,2025/11/05 13:35:48,SYSTEM,Failed to send email. (Error: Server Response Code: 403).
Info,System,2025/11/05 09:16:52,SYSTEM,System successfully registered [113.161.92.1] to [pegaholdings1.synology.me] in DDNS server [Synology].
Info,System,2025/11/05 09:13:51,SYSTEM,System successfully registered [14.161.4.84] to [pegaholdings1.synology.me] in DDNS server [Synology].
Info,System,2025/11/05 09:04:51,SYSTEM,System successfully registered [113.161.92.1] to [pegaholdings1.synology.me] in DDNS server [Synology].
Info,System,2025/11/05 08:55:52,SYSTEM,System successfully registered [14.161.4.84] to [pegaholdings1.synology.me] in DDNS server [Synology].
Info,System,2025/11/05 08:52:52,SYSTEM,System successfully registered [113.161.92.1] to [pegaholdings1.synology.me] in DDNS server [Synology].
Info,System,2025/11/05 08:49:50,SYSTEM,System successfully registered [14.161.4.84] to [pegaholdings1.synology.me] in DDNS server [Synology].
Info,System,2025/11/05 08:47:42,SYSTEM,Domain [PEGA] is online.
Info,System,2025/11/05 08:45:33,SYSTEM,[Synology Drive Server] service was started.
Info,System,2025/11/05 08:45:16,SYSTEM,[Active Backup for Google Workspace] service was started.
Info,System,2025/11/05 08:44:42,SYSTEM,System successfully started [QuickConnect].
Warning,System,2025/11/05 08:44:42,SYSTEM,System booted up from an improper shutdown.
Info,System,2025/11/05 08:43:13,SYSTEM,IP address [169.254.91.170] and subnet mask [255.255.0.0] were assigned to the DHCP client on [ovs_eth2].
Info,System,2025/11/05 08:43:13,SYSTEM,IP address [169.254.27.98] and subnet mask [255.255.0.0] were assigned to the DHCP client on [ovs_eth3].
Info,System,2025/11/05 08:43:03,SYSTEM,System started to boot up.
Info,System,2025/11/04 22:36:17,SYSTEM,[LAN 1 (slave)] link down.
Info,System,2025/11/04 08:17:38,SYSTEM,System successfully registered [113.161.92.1] to [pegaholdings1.synology.me] in DDNS server [Synology].
Info,System,2025/11/03 11:47:40,SYSTEM,System successfully registered [113.161.92.1] to [pegaholdings1.synology.me] in DDNS server [Synology].
Info,System,2025/11/03 11:44:40,SYSTEM,System successfully registered [14.161.4.84] to [pegaholdings1.synology.me] in DDNS server [Synology].
Info,System,2025/11/03 11:41:39,SYSTEM,System successfully registered [113.161.92.1] to [pegaholdings1.synology.me] in DDNS server [Synology].
Info,System,2025/11/03 11:35:40,SYSTEM,System successfully registered [14.161.4.84] to [pegaholdings1.synology.me] in DDNS server [Synology].
Info,System,2025/11/03 11:32:39,SYSTEM,System successfully registered [113.161.92.1] to [pegaholdings1.synology.me] in DDNS server [Synology].
